WP0AA2A92CS661189,GMC,Envoy XL,2002,505712
2G4GT5GX6E9095341,Pontiac,Vibe,2009,45333
1G6YV34A945245092,Ferrari,599 GTB Fiorano,2008,738928
WAUBH74F66N258296,Ford,EXP,1988,843935
WBABD53425P639601,Chrysler,Town & Country,2007,896465
5UXFE43568L586092,Mitsubishi,Endeavor,2004,949560
1G6DM5EY3B0367966,Volkswagen,Jetta,1984,832029
2C4RDGEG5ER151231,Dodge,Charger,2007,171721
WBAUC9C58DV549228,Pontiac,Firebird,1984,58594
1FTEW1CM6CK082847,Buick,Regal,1995,690141
2C4RDGBG7FR808214,Mazda,Mazda2,2012,135165
1G4GD5ER1CF519207,Suzuki,Swift,1993,681443
1D4PT2GK5AW564141,Ford,Excursion,2004,131878
5GAKRBED0CJ344580,Lamborghini,Gallardo,2010,234509
2G4WC552871264621,Buick,Century,1987,146854
